Municipality,Last Name,First Name,Affiliation
Aurora,Price,Paul,Regeneration Network of Ontario
Aurora,Priddle,Deborah Louise,Ministers Network Canada
Aurora,Reid,Frederick,Salvation Army
Aurora,Rienas,Gabriele,Celebrating Life Ministries
Aurora,Schmidt,Justin Ernst,Divine Light Spiritualist Church
Aurora,Smith,Annette Louise,Evangelical Lutheran Church In Canada Eastern Synod
Aurora,Trinidad,Jerome Hipolito,United Pentecostal Church International Ontario District
Aurora,Vasquez-Telenta,Victor Ernesto Angelo,Jehovah's Witnesses
Aurora,Webster,Brett Davidson,The Pentecostal Assemblies of Canada Eastern Ontario District
Aurora,Wen,Xiao Lu,Association Of Christian Evangelical Ministries (Canada)
Aurora,Wong,Alan Sui Kuen,Fellowship Of Evangelical Baptist Churches
Aurora,Wong,Wilson,The Christian and Missionary Alliance Eastern Canada District
Aurora,Wong,Wilson Man-Chiu,Mississauga Chinese Christian Church
Auroro,Ellis,Shawn Alfred,Seventh-day Adventists Ontario Conference
Avonmore,McCutcheon,Amanda Lee,Clergy Support Memorial Church
Aweres Township,Watson,Steven Lewis,Heyden Bible Chapel
Aweres Twp,Strickland,Philip J,Heyden Bible Chapel
Aylmer,Allin,P Lynne,Antler River Watershed Regional Council - United Church
Aylmer,Avram,Douglas,Christian Church (Disciples Of Christ)
Aylmer,Aylott,Thomas G,Churches of Christ
Aylmer,Barbour,Peter James,Apostolic Church of Pentecost of Canada Inc
Aylmer,Bauman,Merle M,Conservative Mennonite Of Ontario
Aylmer,Belzile,Michel R,Baptist - Ontario & Quebec
Aylmer,Borrmann,Jason L,Open Bible Baptist Church (Aylmer)
Aylmer,Bosma,Louis,Christian Reformed Church In North America
Aylmer,Brooks,Cheryl,Community Of Christ
Aylmer,Brooks,Robert,Community Of Christ
Aylmer,Chaudry,Ghulam Khalir,Islamic
Aylmer,Cook,Dennis James,Presbyterian Church in Canada Presbytery Of London
Aylmer,De Gelder,Andrew,Christian Reformed Church In North America
Aylmer,Drover,Derrick,Ministers Network Canada
Aylmer,Dyck,Abram K,Old Colony Mennonite Congregation
Aylmer,Dyck,Johan,Celebrating Life Ministries
Aylmer,Dyck,Peter L,Reinland Fellowship Mennonite Church
Aylmer,Enns,Wilhelm,Evangelical Mennonite Conference
Aylmer,Falk,Wilhelm,Old Sommerfelder Gemeinde of Ontario
Aylmer,Fehr,Antonio,Old Sommerfelder Gemeinde of Ontario
Aylmer,Fehr,Daniel S.,Old Order Amish Mennonite Church Aylmer Community
Aylmer,Fehr,Randy,Evangelical Mennonite Conference
Aylmer,Fehr,William,Evangelical Mennonite Mission Conference
Aylmer,Friesen,Franz,The Canadian Mission Board of the Church of God in Canada
Aylmer,Graham,John Donald,Antler River Watershed Regional Council - United Church
Aylmer,Harms,Abraham,Evangelical Mennonite Mission Conference
Aylmer,Hyde,Steve,Light House Church of the Apostle Ontario Inc.
Aylmer,Jones,Norman Edmund,Christian Reformed Church In North America
Aylmer,Kauenhofen,Benjamin,Evangelical Mennonite Mission Conference
Aylmer,Knelsen,Jacobo,Celebrating Life Ministries
Aylmer,Law,Ryan Ronald,Evangelical Mennonite Mission Conference
Aylmer,Liston,Rebecca Leigh,Canadian International Metaphysical Ministry
Aylmer,Loewen,Abram,Old Sommerfelder Mennonite Church
Aylmer,Loewen,Albert,Evangelical Mennonite Conference
Aylmer,Lownes,John A,
Aylmer,Mac Isaac,Gerrard Alexander,Celebrating Life Ministries
Aylmer,Mahmud,Qasem,Islamic
Aylmer,Martin,John M,Old Order Amish Mennonite Church Aylmer Community
Aylmer,McDonald,Edward Charles,Apostolic Church of Pentecost of Canada Inc
Aylmer,Miller,David Jedidah,Celebrating Life Ministries
Aylmer,Penner,Heinrich,Old Sommerfelder Gemeinde of Ontario
Aylmer,Santos,Danny,Roman Catholic Diocese Of London
Aylmer,Sawatzky,Neil,Baptist
Aylmer,Schmitt,Cornelius Dyck,Celebrating Life Ministries
Aylmer,Schmitt,Heinrich,Celebrating Life Ministries
Aylmer,Sheppard,Thelma,Community Of Christ
Aylmer,Shirran,Richard George,Salvation Army
Aylmer,Siemens,Willy,Evangelical Mennonite Conference
Aylmer,Speed,Terry L,Franklin Walden Evangelistic Association
Aylmer,Stanat,Patrick Charles,Evangelical Mennonite Conference
Aylmer,Stoll,Peter,Old Order Amish Mennonite Church Aylmer Community
Aylmer,Stoltzfus,Issaac K,Old Order Amish Mennonite Church Aylmer Community
Aylmer,Stoltzfus,John,Old Order Amish Mennonite Church Aylmer Community
Aylmer,Veldman,Jeremy John,United Reformed Churches In North America
Aylmer,Voth,Cornelius,Old Sommerfelder Gemeinde of Ontario
Aylmer,Wall,Mike,Old Sommerfelder Mennonite Church
Aylmer,Weber,Raymond A,Conservative Mennonite Of Ontario
Aylmer,Wiebe,Ben,Churches Of Christ And Individually As Disciples Of Christ
Aylmer,Wiebe,Peter,Evangelical Mennonite Mission Conference
Ayr,Dawkins,Timothy Roy,Evangelical Lutheran Church In Canada Eastern Synod
Ayr,Elford,Mary I,Antler River Watershed Regional Council - United Church
Ayr,Generoux,Donna,Community Of Christ
Ayr,Gillies,Barbara Jean,The Community Catholic Church of Canada
Ayr,Gross,Stephen J,Evangelical Lutheran Church In Canada Eastern Synod
Ayr,Heintz,Robert W,Cambridge Community Church
Ayr,Howell,Stephen David Rees,The Church of Jesus Christ of Latter-Day Saints
Ayr,Lauber,Catherine Mary,General Convention of the New Jerusalem in the United States of America
Ayr,Lively,Robert C,Fellowship Of Evangelical Baptist Churches
Ayr,Magnus,Randall Jay,United Brethren Church In Canada Ontario Conference
Ayr,Murphy,Patrick Timothy,The Evangelical Christian Church In Canada
Ayr,Norris-Hamilton,Mark J,Canadian International Metaphysical Ministry
Ayr,Rattee,Michael John,Open Door Evangelistic Church
Ayr,Redshaw,Rosemary,Church Of The Nazarene Canada Central District
Ayr,Schmidt,Terry Allan,Abba Ministries Of Canada
Ayr,Shepherd,Lisa,The Community Catholic Church of Canada
Ayr,Szasz,Ioan,Church of God in Canada
Ayr,Tomic,Dan,Apostolic Christian Church-Nazarean
Ayton,Liesemer,L Richard,The Pentecostal Assemblies of Canada Western Ontario District
Ayton,Lukawski,Walter J,Lutheran Church in America
Ayton,Spencer,Heather,Evangelical Lutheran Church In Canada Eastern Synod
Azilda,Blancehtte,Andrew Marcel,The Spiritual Assembly of the Baha'is of Greater Sudbury
Azilda,Cholette,Pierre,Roman Catholic Diocese Of Sault Ste. Marie
Azilda,Downey,Leonette,Bancroft Centre For Awakening Spiritual Growth
Azilda,Landry,Richard E,Roman Catholic Diocese Of Sault Ste. Marie
Azilda,Legault,Justin,Roman Catholic Diocese Of Sault Ste. Marie
Baden,Alton,Gordon Walter,Mennonite Church Eastern Canada
Baden,Berge,Joan L,Western Ontario Waterways Regional Council - United Church
Baden,Brown,James F,Evangelical Lutheran Church In Canada Eastern Synod
Baden,Brown,Richard P,Evangelical Lutheran Church In Canada Eastern Synod
Baden,Clayton,Timothy Paul,Evangelical Missionary Church Canada East District
Baden,Domm,Wayne Louis,Evangelical Missionary Church Canada East District
Baden,Ellingham,B Paul,Western Ontario Waterways Regional Council - United Church
Baden,Ferber,Carmen,Elim Fellowship Canada
Baden,Ferber,Otto,Elim Fellowship Canada
Baden,Gilbert,Kwame A,Church of God in Canada
Baden,Gilbert,Rona Ann,Church of God in Canada
Baden,Habermehl,Leonard G,Brethren
Baden,Hamill,Daniel Wayne,Evangelical Missionary Church Canada East District
Baden,McNiven,Donald F,Be In Christ Church Of Canada
Baden,Miller Dyck,Myrna Marlene,Mennonite Church Eastern Canada
Baden,Monteith,Frederick William,Western Ontario Waterways Regional Council - United Church
Baden,Morgan,Franklin William,Baptist - Ontario & Quebec
Baden,Paleczny,John Thomas,Horseshoe Falls Regional Council - United Church
Baden,Robertson,John George,Presbyterian Church in Canada Presbytery Of Waterloo - Wellington
Baden,Schelter-Brown,Bonnie,Evangelical Lutheran Church In Canada Eastern Synod
Baden,Sharrow,Brennan Jonathan,Creekside Church
Baiderson,North,Delbert Bruce,Independent Holiness Churches
Bailieboro,Bowman-Gohlisch,Gayle Marion,Church of Spiritual Wisdom
Bailieboro,Buchanan,Donald Iain,Clergy Support Memorial Church
Bailieboro,Crilly,Jennifer Kathleen,Bancroft Centre For Awakening Spiritual Growth
Bailieboro,Hutchison,Jonathan,The Pentecostal Assemblies of Canada Eastern Ontario District
Bailieboro,Parsons,Dwane Sheldon,Evangelical Missionary Church Canada East District
Bailieboro,Vandenberg,Robert,Roman Catholic Diocese Of Peterborough
Bainsville,Gaudet,Lois A,Eastern Ontario Outaouais Regional Council - United Church
Bainsville,Jarvis,Richard G,Roman Catholic Archdiocese Of Ottawa-Cornwall
Bala,Berry,William J,Baptist
Bala,Burns,Michael George,Baptist
Balderson,Errett,Stanley Leslie,Eastern Ontario Outaouais Regional Council - United Church
Baldwin,Lewis,Nancy G,Canadian International Metaphysical Ministry
Baltimore,Benz,Randal S,Jehovah's Witnesses
Baltimore,Carr,Jody A,Celebrating Life Ministries
Baltimore,Stone,Calvin Douglas,East Central Ontario Regional Council - United Church
Baltimore,Turcotte,J S Andre,The Christian and Missionary Alliance Eastern Canada District
Baltimore,Watanabe,Margo Jane,The Anglican Church Of Canada Diocese Of Toronto
Bancroft,Brethour,Steve,The Evangelical Christian Church In Canada
Bancroft,Brownson,T Paul,Brethren
Bancroft,Hill,Wesley Allan,Fellowship Of Evangelical Baptist Churches
Bancroft,Imrisek,William J,Churches Of Christ And Individually As Disciples Of Christ
Bancroft,Kelusky,Scott Alexander,The Evangelical Christian Church In Canada
Bancroft,Khan,Ramzan Ali,The Toronto and Region Islamic Congregation
Bancroft,Marshall,David Gordon,Brethren
Bancroft,Mitchell,James,Brethren
Bancroft,Muobike,Casmir,Roman Catholic Diocese Of Pembroke
Bancroft,Riley,John Paul,The Pentecostal Assemblies of Canada Eastern Ontario District
Bancroft,Sullivan,Brian V,Churches Of Christ And Individually As Disciples Of Christ
Bancroft,Theobald,Herbert William James,Mennonite Church Eastern Canada
Bancroft,Valanne,Kari M,Evangelical Lutheran Church In Canada Eastern Synod
Bancroft,Watson,Merle Lynn,East Central Ontario Regional Council - United Church
Bancroft,Yateman,M Udora,Celebrating Life Ministries
Barmpton,Doyley,Mitzie Elizabeth,Light and Life Ministries Pentecostal Church of God
Barne,White,June C,The Pentecostal Assemblies of Canada Eastern Ontario District
Barrie,Acton,Eldon Paul,Roman Catholic Military Ordinariate Of Canada
Barrie,Ahn,Hyung Jun,Presbyterian Church in Canada Presbytery Of Eastern Han-Ca
Barrie,Aird,Yvette Am,York Church Of God
Barrie,Akinsola,Folarin,The Redeemed Christian Church of God Canada
Barrie,Alan Tan,Chung Min,Heritage Baptist Church Of Barrie Ont
Barrie,Alexiou,Luke James,Celebrating Life Ministries
Barrie,Allan,Delbert John,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Angus-Duhamel,Shealyn Mae,Angels of the Earth Interfaith Community
Barrie,Archer,Jesse J P,Heritage Baptist Church Of Barrie Ont
Barrie,Arnott,Thelma Mabel,Shining Waters Regional Council - United Church
Barrie,Aspinall,Cheryl Gail,The Community Catholic Church of Canada
Barrie,Austin,Jason H,Canadian Convention of Southern Baptist
Barrie,Avendano,Mary,Salvation Army
Barrie,Ball,M Dennis,The Free Methodist Church In Canada
Barrie,Barnes,Nathan Douglas,The Community Catholic Church of Canada
Barrie,Bartz,David M,Baptist
Barrie,Bauer,Stephan,Anchor Ministerial Fellowship
Barrie,Bennett,Joanne,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Bertrim,Brian,The Wesleyan Church of Canada Central Canada District
Barrie,Bierman,Harry John,Christian Reformed Church In North America
Barrie,Black,David Bruce,Shining Waters Regional Council - United Church
Barrie,Bogoje,Corry Lynn,Canadian International Metaphysical Ministry
Barrie,Booth,Stephen,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Bowler,Colin,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Boyer,Keith,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Bradley,Steve G,Canadian Christian Ministers Federation Inc.
Barrie,Brandon,Jessica,Bancroft Centre For Awakening Spiritual Growth
Barrie,Britton-Walfall,Marlene Margaret,Shining Waters Regional Council - United Church
Barrie,Brown,Calvin Barrington,Progressive Living Church International
Barrie,Brown,Gabrielle,Baptist - Ontario & Quebec
Barrie,Brown Kelly,Veronica,Progressive Living Church International
Barrie,Brubacher,Lee Julian,Fellowship Of Evangelical Baptist Churches
Barrie,Bruneau,Marcel G,Roman Catholic Diocese Of Timmins
Barrie,Bruto da Costa,Savio Antonio,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Bull,Joseph D,Baptist
Barrie,Burke,Andrew J,Angels of the Earth Interfaith Community
Barrie,Burke,Teresa E,Angels of the Earth Interfaith Community
Barrie,Burrows,David R,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Burton,Scott J,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Butler,Victoria Grace,Canadian International Metaphysical Ministry
Barrie,Calhoun,Brent Eugene,United Pentecostal Church International Ontario District
Barrie,Callender,Gracie Tina,Angels of the Earth Interfaith Community
Barrie,Carrique,Bevan,Clergy Support Memorial Church
Barrie,Carroll,Paul Arthur,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Cassidy,Michael,The Evangelical Christian Church In Canada
Barrie,Charade,Patrice,Heritage Baptist Church Of Barrie Ont
Barrie,Comte,James H,Brethren
Barrie,Connolly,Karen Elaine,Christian Church / Church of Christ
Barrie,Cooke,Andrew Charles Edward,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Cornejo,Reyes O,"Old & New Bible Holiness Churches, Inc."
Barrie,Coulter,Jeffrey Thomas,Celebrating Life Ministries
Barrie,Coulter,Mark,Church Of The Nazarene Canada Central District
Barrie,Cox,Claude E,Churches Of Christ And Individually As Disciples Of Christ
Barrie,Crews,Lawrence D,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Crocker,Howell Douglas,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Crump,John Albert,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Cryer,Stephanie Edith Rose,Clergy Support Memorial Church
Barrie,Dallimore,Philip Michael,Shining Waters Regional Council - United Church
Barrie,Davies,Thomas John,Shining Waters Regional Council - United Church
Barrie,Dawes,Laneuville O'dell,True Holiness Apostolic Temple of Ontario
Barrie,Deveaux,Christopher G,Canadian Christian Ministries
Barrie,Dorion,Donald,Liberal Catholic Church International
Barrie,Dugard,Todd William,Harvest Bible Chapel Barrie
Barrie,Dunn,Gerald Francis,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Dyck,Henry G,The Free Methodist Church In Canada
Barrie,Eagle,Susan Elizabeth,Shining Waters Regional Council - United Church
Barrie,Elliott,Sean Scott,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Fitch,Scott,Ministers Network Canada
Barrie,Fleming,Dorinda,Unity Spiritual Baptist Archdiocese Of Canada
Barrie,Foster,Elizabeth,Clergy Support Memorial Church
Barrie,Foster,Sandra,Salvation Army
Barrie,Francois,Dwayne Edwin,Harvest Bible Chapel Barrie
Barrie,Frank,Gerald Peter,Independent Assemblies Of God International
Barrie,Franzen,Scott,New Apostolic Church Canada
Barrie,French,Donald S,The Anglican Church Of Canada
Barrie,Futers,David Jeffrey,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Gal,Nathanael J,Canadian Christian Ministers Federation Inc.
Barrie,Gale-MacDonald,Patricia Jean,Shining Waters Regional Council - United Church
Barrie,George,Roy,Celebrating Life Ministries
Barrie,George Konthipparambu,Joshy,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Gilchrist,Francine,The Evangelical Christian Church In Canada
Barrie,Godfrey,Gilbert L M,Salvation Army
Barrie,Godfrey,Lynda Jane,Shining Waters Regional Council - United Church
Barrie,Grenier,Marc Joseph,Celebrating Life Ministries
Barrie,Hammond,Andrew,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Harrington,Raye H,Brethren
Barrie,Harrison,Clive,True Holiness Apostolic Temple of Ontario
Barrie,Haughton,William Robert Hugh,Shining Waters Regional Council - United Church
Barrie,Henderson,Robert J,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Hewitt,Alexander John,The Anglican Church Of Canada Diocese Of Niagara
Barrie,Hicks,Randy Claude,Salvation Army
Barrie,Hintzen,Darlene Cindy,Canadian International Metaphysical Ministry
Barrie,Holmes,Hewitt Talbert,Shining Waters Regional Council - United Church
Barrie,Hopkins,Adelheid Cornelia,Spiritualist Church Of Canada
Barrie,Hopkins,Garry C,Salvation Army
Barrie,Huang,David Wei Tai,The Christian and Missionary Alliance Eastern Canada District
Barrie,Hunter,Morag Kirsty,Shining Waters Regional Council - United Church
Barrie,Hurst,Beverly June,The Evangelical Christian Church In Canada
Barrie,Ighani-Lightfoot,Khorshid,The Spiritual Assembly of the Baha'is of Barrie
Barrie,Ihuoma,Matthew,Roman Catholic Military Ordinariate Of Canada
Barrie,Ivanovic,Jagos,Seventh-day Adventists Ontario Conference
Barrie,Jackson,John A,Humanist Association Of Canada
Barrie,James,Jermaine Andre,Spiritual Hospital
Barrie,Janssen,Ingrid,The Community Catholic Church of Canada
Barrie,Janssen,Janice Eileen,The Community Catholic Church of Canada
Barrie,Jay,Donald Ross,Shining Waters Regional Council - United Church
Barrie,Johns,Kristeen Janet,Clergy Support Memorial Church
Barrie,Johnson,David M,Churches Of Christ And Individually As Disciples Of Christ
Barrie,Johnson,Timothy R,Barrie Church of Christ
Barrie,Jung,Sung Min,Shining Waters Regional Council - United Church
Barrie,Kalmar,Julius Djula,Seventh-day Adventists Ontario Conference
Barrie,Kane,Diane T,Celebrating Life Ministries
Barrie,Kang,Moses S,Christian Reformed Church In North America
Barrie,Karedia,Sadiq R,Ismaili Muslim Council For Ontario
Barrie,Kaye,David H,The Anglican Church Of Canada
Barrie,Kelly,Amanda Rebecca,Canadian International Metaphysical Ministry
Barrie,Kelly,Bonnie Elizabeth,Shining Waters Regional Council - United Church
Barrie,Kelly,Catherine J,Clergy Support Memorial Church
Barrie,Kelly,Sharon A,Celebrating Life Ministries
Barrie,Kelly,William Richard,Foursquare Gospel Church of Canada
Barrie,Kerr,Paul S,Fellowship Of Evangelical Baptist Churches
Barrie,Ketching,Denise Marion Gwendolyn,Celebrating Life Ministries
Barrie,Kewin,Eugene Frank,Bancroft Centre For Awakening Spiritual Growth
Barrie,Khan,Shariq,Bradford Islamic Community Centre
Barrie,Kim,Hyung Jin,"The Canada Eastern Presbytery, The Korean Presbyterian Church Abroad"
Barrie,Kim,Seung-Rhyon,Presbyterian Church in Canada Presbytery Of Lanark & Renfrew
Barrie,Kim,Sun-Kyung,The Evangelical Christian Church In Canada
Barrie,Knapp,Nancy Jane,Clergy Support Memorial Church
Barrie,Knowles,Mary Diane,Shining Waters Regional Council - United Church
Barrie,Krueger,Ann E,Evangelical Lutheran Church In Canada Eastern Synod
Barrie,Lambert,Karen Dale,Humanist Association Of Canada
Barrie,Lee,George W,Grace Communion International Canada
Barrie,Lee,Joo An,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Leger,Laurence Joseph,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Lewis,Steven Lawrence,Ontario Humanist Society
Barrie,Lightbourn,Frances M,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Lochhead,Margaret Doreen,The Spiritual Assembly of the Baha'is of Barrie
Barrie,Lockhart,W J Keith,Shining Waters Regional Council - United Church
Barrie,Lucas,James William,The United Church Of God-Canada
Barrie,Lue,Vincent L,Seventh-day Adventists Ontario Conference
Barrie,Lutes,Gail Louise,Celebrating Life Ministries
Barrie,Lutz,Gregory Robert,The Lutheran Church Missouri Synod
Barrie,Lyon,Mark R,Celebrating Life Ministries
Barrie,MacDonald,Colin Craig,Shining Waters Regional Council - United Church
Barrie,Maddock,Sidney J,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Malott,Paul,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Marttinen,Melvin,Old Apostolic Lutheran Church Of America
Barrie,Mason,Jordan Kyle,Christian Ministers' Association
Barrie,Mast,Kevin John,Evangelical Missionary Church Canada East District
Barrie,Mayer,Diane,The Sanctuary Family Centre
Barrie,McCulloch,Paul Henry,Victory Churches Of Canada International Assoc
Barrie,McDonald,Ruth Arla,Shining Waters Regional Council - United Church
Barrie,McDowell,Aline Marie,Canadian International Metaphysical Ministry
Barrie,McIntyre,Jason Noel,The Free Methodist Church In Canada
Barrie,McKay,Nicole Louise,Unitarian Universalist Association
Barrie,McVitty,Brian Hugh,Anglican Network in Canada
Barrie,Mehmet,Kim,Bancroft Centre For Awakening Spiritual Growth
Barrie,Miezlaiskis,Bridgit,Canadian International Metaphysical Ministry
Barrie,Moore,Thomas George,Shining Waters Regional Council - United Church
Barrie,Morgan,Heather Renee,The Community Catholic Church of Canada
Barrie,Morley,Philip C,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Myddelton,Judith A,Angels of the Earth Interfaith Community
Barrie,Negrette,Amanda,Canadian International Metaphysical Ministry
Barrie,Neuman,Aaron Thomas,Ministers Network Canada
Barrie,Neuman,Gregory Raymond,Ministers Network Canada
Barrie,Neuman,Sheila Marie,Ministers Network Canada
Barrie,Newman,Winston,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Newport,Brenda M,The Evangelical Christian Church In Canada
Barrie,Nti,Dominic,Dream Nation Christian Center
Barrie,Nti,Tamara Jeanette,Dream Nation Christian Center
Barrie,Nwabuike,Nathan Ugochukwu,Baptist - Ontario & Quebec
Barrie,O'Kane,Carol,The Association for Education and Evangelism
Barrie,Omoregie,Stephen,Lutheran Church - Canada
Barrie,Ongo,Stephen G,Partners In Harvest (Canada)
Barrie,Ovens,Tammy-Lee,Canadian International Metaphysical Ministry
Barrie,Overton,Ray L,Churches Of Christ And Individually As Disciples Of Christ
Barrie,Palczewski,Bartlomiej Henryk,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Papazoglou,George,Greek Orthodox Archdiocese of Canada
Barrie,Pare,Carin Carol,Victory Churches Of Canada International Assoc
Barrie,Park,Shim,"The Canada Eastern Presbytery, The Korean Presbyterian Church Abroad"
Barrie,Payne,Hilda Amelia,Bancroft Centre For Awakening Spiritual Growth
Barrie,Pecchia,Anna,Canadian International Metaphysical Ministry
Barrie,Pennell,Brett,Heritage Baptist Church Of Barrie Ont
Barrie,Pennell,Leroy A,Heritage Baptist Church Of Barrie Ont
Barrie,Peters,Raymond Nickolas,The Christian and Missionary Alliance Central Canada District
Barrie,Peterson,Michael Thomas Leonard,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Pinto,Luis Fernando,Celebrating Life Ministries
Barrie,Pitts,Craig Frederick,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Pitts,Glen Robert,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Pivetta,Thomas ,Eagle Worldwide Ministries
Barrie,Placido,John H,Independent Assemblies Of God International
Barrie,Poole,Maurice Philip,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Posno,Dennis Brian,Shining Waters Regional Council - United Church
Barrie,Powell,Donald Miles,The Anglican Church Of Canada Diocese Of Niagara
Barrie,Price,Tim Trent,United Pentecostal Church International Ontario District
Barrie,Raycroft,Randy Elmer,Celebrating Life Ministries
Barrie,Reaume,Danielle Renee,Angels of the Earth Interfaith Community
Barrie,Reimer,Arnold Paul,The Christian and Missionary Alliance Eastern Canada District
Barrie,Reynolds,Constance Diane,Bancroft Centre For Awakening Spiritual Growth
Barrie,Richardson,Jordan Michael Paul,Celebrating Life Ministries
Barrie,Rideout,Alonzo,Church Of God Worship Centre
Barrie,Rideout,Ronald Dale,Churches Of Christ And Individually As Disciples Of Christ
Barrie,Roberts,Brian Douglas,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Rogler,Kevin Leslie,The Evangelical Christian Church In Canada
Barrie,Running,Raymond Winston,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Ruttan,Matthew,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Salomons,Clarence Harry,Christian Reformed Church In North America
Barrie,Sandilands,G Andrew,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Schmid,Manfred,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Scholten-Dallimore,Loretta Renee,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Schreiner,Stephen A,New Apostolic Church Canada
Barrie,Scott,McDanley Fitzgerald,West Indian Canadian International Apostolic Fellowship Inc.
Barrie,Sharples,Florence M,Salvation Army
Barrie,Shirran,Bruce Alexander,Salvation Army
Barrie,Shirran,Marilyn,Salvation Army
Barrie,Shoyebo,Wilmaniel,Unity Spiritual Baptist Archdiocese Of Canada
Barrie,Simons,Paul Douglas George,Anglican Network in Canada
Barrie,Sinnott,Jeremy Allen,Partners In Harvest (Canada)
Barrie,Small,Carla Janette,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Small,Jason David,The Pentecostal Assemblies of Canada Western Ontario District
Barrie,Smith,Cheryl Ann,Church Of Truth International
Barrie,Smith,John Orvin,Ministers Network Canada
Barrie,Snelling,Susan M,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Snow,Donna Daphne,Salvation Army
Barrie,Snow,Roy,Salvation Army
Barrie,Soetan,Oleseni,Foursquare Gospel Church of Canada
Barrie,Speers,John E,The Anglican Church Of Canada
Barrie,Stein,Gabrielle,Anchor Ministerial Fellowship
Barrie,Sticklee,Bruce,The Association for Education and Evangelism
Barrie,Stuart,Charles E,Brethren
Barrie,Summers,Malcolm Donald,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Tait,Jonathan Walter,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Tengnagel,Faith,A Case Of Faith Ministries
Barrie,Tengnagel,Kees,A Case Of Faith Ministries
Barrie,Terfloth,Marcus Carl,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
Barrie,Tiriboyi,James,True Light Apostolic Church of Jesus Christ
Barrie,Tulloch,Boris Nathaniel,Power In Praises Deliverance Ministries Inc.
Barrie,Turner,J Paul,Brethren
Barrie,Tweedle,Caroline,Church Of The Nazarene Canada Central District
Barrie,Van Casteren,Lynda Averlea,Bancroft Centre For Awakening Spiritual Growth
Barrie,Van Daalen,Siebren Albert,Christian Reformed Church In North America
Barrie,Van Stempvoort,John William,Christian Reformed Church In North America
Barrie,Varty,Richard,Clergy Support Memorial Church
Barrie,Voo,Allyson,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Vos,Jacob Berend,Christian Reformed Church In North America
Barrie,Wagar,Jennifer L,The Free Methodist Church In Canada
Barrie,Wallace,Daniel,Ministers Network Canada
Barrie,Warren,David C,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Wheaton,Andrea,Shining Waters Regional Council - United Church
Barrie,Whiteside,Donald Leo,Fellowship Of Evangelical Baptist Churches
Barrie,Whiteside,George Wayne,Jehovah's Witnesses
Barrie,Whittingham,Trevor A,Baptist - Ontario & Quebec
Barrie,Wilcox,James,The Anglican Church Of Canada Diocese Of Toronto
Barrie,Williams,John P,Anglican Network in Canada
Barrie,Wilson,Edward George Ernest,The Church of Jesus Christ of Latter-Day Saints
Barrie,Wolstenholme,Shirley Louise,York St Peter's Evangelistic Organization
Barrie,Woods,Susan Lorraine,Shining Waters Regional Council - United Church
Barrie,Young,James Aitken,Presbyterian Church in Canada Presbytery Of Barrie
Barrie,Young,Scott,Roman Catholic Archdiocese Of Toronto - Catholic Pastoral Center
